year,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,language,song_age,energy_loudness,dance_valence,speech_energy,acoustic_energy_ratio,tempo_energy,flop_class,Predicted
2021,57,0.773,0.675,214736.0,0.392,0.0,4.0,0.109,-10.11,0.0,0.037,123.923,4.0,0.533,Hindi,3,-3.96312,0.35977500000000007,0.014504,1.9718884722328511,48.577816000000006,0,0
2017,25,0.0361,0.669,224928.0,0.902,0.0,11.0,0.197,-4.782,0.0,0.17,131.029,4.0,0.733,Unknown,7,-4.313364,0.490377,0.15334,0.04002172924912141,118.188158,0,0
2011,37,0.235,0.795,224320.0,0.89,0.0,8.0,0.204,-2.78,0.0,0.0368,126.037,4.0,0.734,Korean,13,-2.4741999999999997,0.58353,0.032752,0.26404197705643756,112.17293000000001,0,0
2013,37,0.447,0.671,241053.0,0.67,1.1e-05,9.0,0.0638,-9.544,1.0,0.396,106.54,3.0,0.7,Hindi,11,-6.394480000000001,0.4697,0.26532000000000006,0.6671542215787825,71.38180000000001,0,0
2021,66,0.696,0.605,225880.0,0.488,0.0,4.0,0.129,-8.322,1.0,0.0264,119.966,4.0,0.354,English,3,-4.061135999999999,0.21416999999999997,0.0128832,1.4262002827810905,58.54340799999999,0,0
2018,45,0.0669,0.706,237490.0,0.895,0.0,4.0,0.237,-3.621,1.0,0.0502,123.043,4.0,0.562,Korean,6,-3.240795,0.396772,0.044929000000000004,0.0747477681813611,110.123485,0,0
2021,36,0.878,0.535,257773.0,0.562,0.000132,5.0,0.114,-11.615,1.0,0.0479,96.103,4.0,0.294,English,3,-6.527630000000001,0.15729,0.0269198,1.5622497820323482,54.009886,0,0
2014,36,0.7,0.609,237907.0,0.68,1.12e-06,4.0,0.137,-5.85,1.0,0.0301,116.838,4.0,0.595,Tamil,10,-3.978,0.362355,0.020468,1.0293966265201981,79.44984,0,0
2015,23,0.642,0.551,255142.0,0.475,0.000605,0.0,0.346,-12.92,0.0,0.0364,113.059,4.0,0.709,Tamil,9,-6.137,0.39065900000000003,0.01729,1.3515504936738174,53.703025,0,0
2013,29,0.0624,0.592,392620.0,0.836,0.0,9.0,0.176,-4.295,1.0,0.0404,101.989,4.0,0.51,Hindi,11,-3.59062,0.30191999999999997,0.033774399999999996,0.07464025549933613,85.262804,0,0
2017,22,7.95e-05,0.746,209227.0,0.794,0.754,6.0,0.343,-5.962,1.0,0.0339,142.006,4.0,0.57,Korean,7,-4.733828,0.42522,0.026916600000000002,0.00010012468356821702,112.752764,0,0
2020,54,0.173,0.632,170667.0,0.761,0.579,4.0,0.113,-5.958,0.0,0.0865,90.006,4.0,0.0679,Unknown,4,-4.534038,0.0429128,0.0658265,0.2273294700463857,68.494566,0,0
2010,28,0.558,0.522,278547.0,0.74,0.0,0.0,0.144,-7.018,1.0,0.0465,92.618,4.0,0.732,Unknown,14,-5.19332,0.382104,0.034409999999999996,0.7540438642721046,68.53732,0,0
2020,45,0.04,0.752,220053.0,0.782,1.04e-06,0.0,0.0841,-5.173,0.0,0.0297,139.994,4.0,0.901,Korean,4,-4.045286,0.677552,0.0232254,0.05115024104551093,109.475308,0,0
2017,61,0.0369,0.653,216281.0,0.839,0.0,10.0,0.068,-5.077,1.0,0.0685,149.034,4.0,0.669,English,7,-4.259602999999999,0.43685700000000005,0.0574715,0.043980405477884656,125.039526,0,0
2020,29,0.0305,0.854,188840.0,0.714,0.0,0.0,0.0413,-4.641,1.0,0.149,115.017,4.0,0.634,Korean,4,-3.313674,0.541436,0.106386,0.04271648856458593,82.12213799999999,0,0
2014,26,0.686,0.444,281751.0,0.477,0.103,6.0,0.105,-8.107,1.0,0.0324,120.1,4.0,0.175,English,10,-3.8670389999999997,0.07769999999999999,0.015454799999999998,1.4381249868975494,57.287699999999994,0,0
2024,41,0.00753,0.563,187565.0,0.869,3.46e-06,4.0,0.364,-4.361,0.0,0.0424,168.839,4.0,0.232,Korean,0,-3.7897089999999998,0.13061599999999998,0.0368456,0.008665032623329997,146.721091,0,0
2016,57,0.304,0.536,255853.0,0.486,0.000479,1.0,0.945,-9.431,0.0,0.037,72.727,4.0,0.125,English,8,-4.583466,0.067,0.017981999999999998,0.6255015328902698,35.345322,0,0
2021,24,0.865,0.393,279958.0,0.478,2.99e-06,0.0,0.303,-6.174,0.0,0.0269,92.228,3.0,0.293,Hindi,3,-2.951172,0.115149,0.0128582,1.8095855735235664,44.084984,0,0
